fwK7ggA3-bU,Maroon 5,One More Night,more,But I'll only stay with you one __ night,190080,193970,3890,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,(Yeah baby give me one __ night),193970,195510,1540,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,That I'll only stay with you one __ night,200330,205580,5250,1,string_ore,string_ore,strings,,,,,,
fwK7ggA3-bU,Maroon 5,One More Night,more,But I'll only stay with you one __ night,210790,224000,13210,1,string_ore,string_ore,strings,,,,,,
nIjVuRTm-dc,Maroon 5,She Will Be Loved,more,I've had you so many times but somehow I want __,36840,46220,9380,0,string_ore,string_ore,strings,,,,,,
nIjVuRTm-dc,Maroon 5,She Will Be Loved,anymore,It doesn't matter __,91600,96040,4440,0,string_ore,string_ore,strings,,,,,,
nRpjsFcb2uo,John Legend,Made To Love,more,In much __ than you and me,30610,33130,2520,0,string_ore,string_ore,strings,,,,,,
nRpjsFcb2uo,John Legend,Made To Love,before,"Ooh, I was never sure of a God __",107320,111700,4380,0,string_ore,string_ore,strings,,,,,,
F3EG4olrFjY,Olly Murs,Dance With Me Tonight,more,"One __ time, one more time, come on now",138690,143650,4960,0,string_ore,string_ore,strings,,,,,,
F3EG4olrFjY,Olly Murs,Dance With Me Tonight,more,"One more time, one __ time, come on now",138690,143650,4960,0,string_ore,string_ore,strings,,,,,,
yXQViqx6GMY,Mariah Carey,All I Want For Christmas Is You,More,__ than you could ever know,29130,33130,4000,0,string_ore,string_ore,strings,,,,,,
yXQViqx6GMY,Mariah Carey,All I Want For Christmas Is You,More,__ than you could ever know,86230,89410,3180,0,string_ore,string_ore,strings,,,,,,
yXQViqx6GMY,Mariah Carey,All I Want For Christmas Is You,more,What __ can I do,134230,137070,2840,0,string_ore,string_ore,strings,,,,,,
yXQViqx6GMY,Mariah Carey,All I Want For Christmas Is You,More,__ than you could ever know,188500,191710,3210,0,string_ore,string_ore,strings,,,,,,
sOnqjkJTMaA,Michael Jackson,Thriller,before,"You try to scream, but terror takes the sound __",73080,77780,4700,1,string_ore,string_ore,strings,,,,,,
sOnqjkJTMaA,Michael Jackson,Thriller,more,'Cause I can thrill you __ than any ghost,221840,224610,2770,1,string_ore,string_ore,strings,,,,,,
sOnqjkJTMaA,Michael Jackson,Thriller,more,'Cause I can thrill you __ than any ghost,241940,244420,2480,1,string_ore,string_ore,strings,,,,,,
kYtGl1dX5qI,Will.I.Am,Scream And Shout,more,Drink it up and then drink some __,99100,100950,1850,1,string_ore,string_ore,strings,,,,,,
KQ6zr6kCPj8,Lmfao,Party Rock Anthem,more,One __ shot for us another round,158080,159950,1870,1,string_ore,string_ore,strings,,,,,,
fWNaR-rxAic,Carly Rae Jepsen,Call Me Maybe,Before,__ you came into my life,120010,122360,2350,0,string_ore,string_ore,strings,,,,,,
fWNaR-rxAic,Carly Rae Jepsen,Call Me Maybe,Before,__ you came into my life,128420,130670,2250,0,string_ore,string_ore,strings,,,,,,
fWNaR-rxAic,Carly Rae Jepsen,Call Me Maybe,Before,__ you came into my life,167910,170350,2440,0,string_ore,string_ore,strings,,,,,,
fWNaR-rxAic,Carly Rae Jepsen,Call Me Maybe,Before,__ you came into my life,176160,178200,2040,0,string_ore,string_ore,strings,,,,,,
oTbcO9qaE5g,Cher,Believe,anymore,I don't need you __,158620,161200,2580,0,string_ore,string_ore,strings,,,,,,
oTbcO9qaE5g,Cher,Believe,anymore,I don't need you __,161200,164610,3410,0,string_ore,string_ore,strings,,,,,,
oTbcO9qaE5g,Cher,Believe,anymore,I don't need you __,164610,168340,3730,0,string_ore,string_ore,strings,,,,,,
oTbcO9qaE5g,Cher,Believe,anymore,No I don't need you __,168340,173920,5580,0,string_ore,string_ore,strings,,,,,,
DUT5rEU6pqM,Shakira,Hips Don'T Lie,ignore,Nobody cannot __,49000,50500,1500,0,string_ore,string_ore,strings,,,,,,
DUT5rEU6pqM,Shakira,Hips Don'T Lie,more,No __ do we snatch ropes,179460,181590,2130,0,string_ore,string_ore,strings,,,,,,
t4H_Zoh7G5A,Jennifer Lopez,On The Floor,more,Grab somebody drink a little __,91440,95040,3600,1,string_ore,string_ore,strings,,,,,,
t4H_Zoh7G5A,Jennifer Lopez,On The Floor,more,Grab somebody drink a little __,161560,165750,4190,1,string_ore,string_ore,strings,,,,,,
t4H_Zoh7G5A,Jennifer Lopez,On The Floor,more,Say no __ get on the floor,202450,204090,1640,1,string_ore,string_ore,strings,,,,,,
rtOvBOTyX00,Christina Perri,A Thousand Years,more,I'll love you for a thousand __,75200,87100,11900,0,string_ore,string_ore,strings,,,,,,
rtOvBOTyX00,Christina Perri,A Thousand Years,more,I'll love you for a thousand __,142550,149230,6680,0,string_ore,string_ore,strings,,,,,,
rtOvBOTyX00,Christina Perri,A Thousand Years,more,I'll love you for a thousand __,163300,193300,30000,0,string_ore,string_ore,strings,,,,,,
rtOvBOTyX00,Christina Perri,A Thousand Years,more,I'll love you for a thousand __,225280,232000,6720,0,string_ore,string_ore,strings,,,,,,
rtOvBOTyX00,Christina Perri,A Thousand Years,more,I'll love you for a thousand __,246120,288000,41880,0,string_ore,string_ore,strings,,,,,,
8v_4O44sfjM,Christina Perri,Jar Of Hearts,more,I know I can't take one __ step towards you,260,6860,6600,0,string_ore,string_ore,strings,,,,,,
8v_4O44sfjM,Christina Perri,Jar Of Hearts,anymore,Don't you know I'm not your ghost __,13370,20030,6660,0,string_ore,string_ore,strings,,,,,,
8v_4O44sfjM,Christina Perri,Jar Of Hearts,more,And now you want me one __ time,32850,40110,7260,0,string_ore,string_ore,strings,,,,,,
8v_4O44sfjM,Christina Perri,Jar Of Hearts,more,And now you want me one __ time,100320,107590,7270,0,string_ore,string_ore,strings,,,,,,
cPJUBQd-PNM,Usher,Dj Got Us Fallin' In Love,before,Ain't I seen you __?,32120,33900,1780,1,string_ore,string_ore,strings,,,,,,
cPJUBQd-PNM,Usher,Dj Got Us Fallin' In Love,before,Swear I seen you __,96000,97640,1640,1,string_ore,string_ore,strings,,,,,,
8WEtxJ4-sh4,Tlc,Waterfalls,more,"Skies have dried the tears from my eyes, no __ lonely cries",186000,189060,3060,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,core,"And I'm sad to the __, core, core",60930,64800,3870,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,core,"And I'm sad to the core, __, core",60930,64800,3870,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,core,"And I'm sad to the core, core, __",60930,64800,3870,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,chore,"Every day is a __, chore, chore",64800,68410,3610,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,chore,"Every day is a chore, __, chore",64800,68410,3610,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,chore,"Every day is a chore, chore, __",64800,68410,3610,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,more,When you feel of a whole __ more,68410,72190,3780,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,more,When you feel of a whole more __,68410,72190,3780,0,string_ore,string_ore,strings,,,,,,
Gj5L9SYhoSE,Marina And The Diamonds,Primadonna,adored,I wanna be __,72190,74400,2210,0,string_ore,string_ore,strings,,,,,,
vKNcuTWzTVw,Marina And The Diamonds,How To Be A Heartbreaker,more,"Kiss him goodbye at the door, and leave him wanting __, more",95010,101930,6920,0,string_ore,string_ore,strings,,,,,,
vKNcuTWzTVw,Marina And The Diamonds,How To Be A Heartbreaker,more,"Kiss him goodbye at the door, and leave him wanting more, __",95010,101930,6920,0,string_ore,string_ore,strings,,,,,,
NL2VBU604Jw,Gavin Degraw,Best I Ever Had,before,"""Saying """"Find someone __ it gets too late""""""",180880,184320,3440,0,string_ore,string_ore,strings,,,,,,
s1XozsBN5Z4,Kelly Rowland,Motivation,more,"Go longer, you can last __ rounds",14380,21120,6740,0,string_ore,string_ore,strings,,,,,,
WQnAxOQxQIU,Savage Garden,Truly Madly Deeply,more,"I love you __ with every breath, truly madly deeply do",27760,33300,5540,0,string_ore,string_ore,strings,,,,,,
WQnAxOQxQIU,Savage Garden,Truly Madly Deeply,before,'Cause it's standing right __ you.,138970,141840,2870,0,string_ore,string_ore,strings,,,,,,
