,Comments - Diletta,Comments - Patricia,Title,Artist,Date Added,Date Sync,New Youtube ID,Age,Andrea's genre 1,Andrea's genre 2,Andrea's genre 3
,,.,I would,One Direction,,11/11/2014,g3o2TfrULck,,,,
,,.,Live while we're young,One Direction,,11/11/2014,AbPED9bisSc,,,,
,,,Moments,One Direction,,9/11/2014,Gqm873UWUdw,10's,Pop,Teenpop,
,,,Story of my life,One Direction,,9/11/2014,W-TE_Ys4iwM,10's,Pop,Teenpop,
,,.,What makes you beautiful,One Direction,,9/11/2014,QJO3ROT-A4E,10's,Pop,Teenpop,
,,.,One thing,One Direction,,19/8/2014,Y1xs_xPb46M,10's,Pop,Teenpop,
WHAT'S HOT PLAYLIST,,,,,,,,,,,
ON AIR,.,,One in a million,Ne-Yo,,9/11/2014,6tpl9LtkRRw,,,,
,.,,Grace Kelly,Mika,,30/10/2014,0CGVgAYJyjk,00's,Pop,Teenpop,
,.,,Grenade,Bruno Mars,,1/10/2014,SR6iYWJxHqs,10's,Pop,Hip-hop/R&B,
,.,,Larger than life,Backstreet boys,17/12/2014,31/10/2014,MEb2CecR11I,90's,Pop,Dance,
,.,,Complicated,Avril Lavigne,15/12/2014,3/10/2014,5NPBIwQyPWE,00's,Rock,Pop,
,.,,Sk8ter boy,Avril Lavigne,15/12/2014,3/10/2014,TIy3n2b7V9k,00's,Rock,,
,.,,When you're gone,Avril Lavigne,15/12/2014,2/10/2014,0G3_kG5FFfQ,00's,Pop,Rock,
,.,,We are golden,Mika,15/12/2014,30/10/2014,hEhutIEUq8k,00's,Pop,Dance,
,,.,Just the way you are,Bruno Mars,24/11/2014,1/10/2014,LjhCEhWiKXk,10's,Pop,Hip-hop/R&B,
,,.,Price tag,Jessie J and BoB,12/11/2014,29/10/2014,qMxX-QOV9tI,10's,Pop,Hip-hop/R&B,
,,.,Man in the mirror,Michael Jackson,12/11/2014,28/10/2014,PivWY9wn5ps,80's,Pop,Hip-hop/R&B,
,,.,Billie Jean,Michael Jackson,9/11/2014,24/10/2014,Zi_XLOBDo_Y,80's,Pop,Hip-hop/R&B,
,,.,La-la-land machine,Demi Lovato,9/11/2014,24/10/2014,nmjO1p9Oxrk,00's,Pop,Teenpop,
,,.,Warrior,Demi Lovato,9/11/2014,24/10/2014,74aOxH4R5Ow,10's,Pop,Teenpop,
,,.,You're beautiful,James Blunt,9/11/2014,23/10/2014,oofSnsGkops,00's,Pop,Teenpop,
,,.,You and I,One Direction,9/11/2014,19/8/2014,_kqQDCxRCzM,10's,Pop,Teenpop,
,,.,Say something,Christina Aguilera,9/11/2014,21/8/2014,-2U0Ivkn2Ds,10's,Pop,Indie/alternative,
,,.,Stay,Florida Georgia Line,9/11/2014,21/8/2014,T_igmjEB560,10's,Pop,Rock,
,,.,Stolen dance,Milky Chance,9/11/2014,26/8/2014,iX-QaNzd-0Y,10's,Pop,Indie/alternative,
,,.,Extraordinary,Clean Bandit,9/11/2014,26/8/2014,40nFOYGVJtY,10's,Pop,Dance,
,,.,Heart to heart,James Blunt,9/11/2014,27/8/2014,CsFb661EXsI,10's,Pop,,
